#{"t_start": 1775368365.7121854, "env_id": "None"}
r,l,t
852.889424,284,325.30371
877.68464,288,326.278747
884.257409,289,327.265999
834.749964,290,328.242432
864.976356,290,329.219122
853.982966,295,330.146077
823.881516,297,332.737709
836.131442,304,333.477173
854.94675,288,334.382612
866.897035,290,335.36939
852.412574,292,336.390529
824.357055,289,337.407859
875.243154,289,338.386969
871.832643,282,339.351622
880.894747,290,342.011652
836.959335,290,342.852854
876.614828,289,343.771307
873.376397,285,344.660259
870.765675,283,345.495365
855.426828,287,346.32846
841.999621,281,347.197596
867.019141,289,349.666258
870.818917,290,350.570893
62.911411,55,350.745323
866.522199,284,351.600801
853.8255,284,352.461094
887.113014,293,353.325368
864.586235,293,354.215448
904.589252,285,355.281518
879.223221,288,358.904439
862.199992,286,359.949422
872.932119,286,361.03265
874.880852,288,362.414036
896.177054,286,363.687546
855.687205,285,364.842038
891.354319,284,365.843308
854.316185,289,368.661236
890.891164,287,369.5037
846.907298,288,370.33718
881.678366,287,371.241898
841.489484,285,372.200772
843.410847,287,373.09789
886.55058,288,374.035169
862.350651,288,376.640887
890.173391,287,377.602847
894.772608,288,378.614027
896.799851,287,379.573262
889.8879,288,380.438862
866.150736,286,381.687497
829.745145,286,382.832776
887.096558,289,385.673359
883.505271,286,386.74135
898.322048,290,387.747362
879.815111,289,388.767272
846.708333,292,389.839719
895.908063,289,390.843409
878.203946,288,391.863826
884.814429,284,394.826389
886.974431,287,395.898332
858.812139,292,397.023262
875.090152,285,397.873388
891.198462,288,398.883603
892.782314,287,399.928623
875.667309,284,401.097874
897.182124,292,404.869524
876.217848,289,405.837287
859.62478,289,406.842572
883.859469,300,407.813984
874.342547,296,408.904098
884.10175,289,410.05438
916.960704,294,411.113693
862.903358,285,414.059994
871.848393,282,414.975355
885.401926,288,416.029833
874.932782,284,417.097585
856.207471,291,418.051126
878.627092,292,419.124122
893.339243,286,420.237075
887.296067,290,423.45427
885.67226,291,424.507517
885.177379,289,425.495956
894.912887,285,426.448517
866.828883,282,427.400249
880.276844,285,428.307341
884.161447,282,429.144456
891.049547,290,430.022232
893.142909,291,432.555448
870.677893,290,433.578947
871.230259,286,434.530633
895.73364,292,435.597956
888.507721,288,436.58922
893.083772,294,437.574631
874.06006,291,438.542087
871.362014,286,441.087218
894.642671,289,441.939393
895.589513,290,442.766568
878.57327,286,443.634944
896.299713,293,444.476013
903.294493,287,445.420662
884.231354,284,446.38089
918.387877,294,448.973516
899.090878,290,449.706286
905.009131,294,450.480009
891.109485,303,451.18868
906.159737,291,451.956784
890.572112,289,452.693874
899.604357,290,453.503113
903.058804,294,455.878291
903.115447,295,456.654244
823.633313,294,457.483735
899.385013,289,458.331255
893.204293,289,459.076641
891.739675,290,459.855322
905.242081,300,460.627231
917.568267,293,463.221556
893.257723,289,464.203806
901.113524,290,465.124554
899.156951,287,466.097543
896.691906,290,467.070478
911.44118,293,468.032754
929.858963,295,469.010896
900.209026,287,471.441735
898.976956,309,472.13957
879.504361,297,472.859462
898.28612,301,473.505663
907.980698,289,474.293029
931.099597,292,475.046142
905.780236,287,475.893998
930.491257,292,478.344406
913.886532,293,479.232908
926.820273,292,479.978493
933.801783,296,480.713839
819.548659,301,481.534774
891.473094,294,482.342668
920.663791,292,483.095055
916.565978,295,485.502826
906.331732,295,486.300547
922.21148,289,487.078511
908.32312,290,487.873484
917.524965,289,488.651471
916.53292,290,489.375206
925.573503,294,490.146535
913.260497,294,492.687462
903.183484,299,493.619285
910.579213,297,494.579414
926.334096,296,495.370002
921.664138,292,496.312536
938.2664,295,497.24729
912.392893,298,498.192432
913.709361,300,500.595708
922.647207,295,501.398738
910.353845,299,502.179907
893.006793,307,502.855799
905.607542,294,503.596102
906.236724,289,504.375938
936.562036,299,506.631048
951.294283,298,507.420917
912.794035,294,508.255723
926.627264,290,509.095579
944.822907,296,509.878322
933.674174,298,510.643124
931.342679,300,511.419778
942.509444,298,513.72835
952.876543,300,514.508544
966.944686,301,515.24714
942.709769,296,516.006888
940.57312,295,516.729918
924.093127,301,517.475149
952.022532,299,518.321182
959.171298,307,520.885242
924.993295,293,521.869027
945.999696,295,522.782668
916.844793,297,523.801929
951.070019,299,524.726732
925.694385,294,525.587123
932.985459,300,526.311477
949.663678,298,528.615187
913.162679,292,529.397147
970.440616,303,530.156641
931.409584,298,531.073779
941.444288,296,532.020234
952.791807,297,533.000942
929.403174,298,533.937136
944.240628,299,536.417924
925.938108,296,537.181972
946.065444,300,537.939092
932.307265,295,538.693903
951.198665,297,539.449085
964.484426,299,540.177294
930.62885,298,541.027878
948.535181,302,543.681971
966.133244,299,544.595954
932.16117,302,545.447062
939.807544,297,546.256521
956.724373,297,547.027944
945.286499,305,547.822519
942.969747,300,548.588935
960.615877,300,550.869762
943.132931,299,551.62468
967.63788,299,552.416182
956.977766,298,553.176673
970.515485,301,554.01981
936.124422,293,554.876166
961.302465,301,555.806815
964.570271,302,558.365893
956.424313,302,559.088728
951.279941,302,560.013645
951.425733,300,560.955674
959.797977,300,561.870977
961.646346,301,562.803936
954.89211,302,565.529456
969.524999,300,566.492247
960.697474,308,567.460212
910.550714,302,568.414767
956.31813,305,569.34024
965.519139,303,570.164125
972.284261,303,570.947708
959.17023,301,573.242739
961.451768,303,574.02933
966.71148,307,574.817773
985.613669,303,575.568431
962.490225,304,576.348304
959.770442,302,577.095708
966.038174,303,577.877631
964.833562,302,580.241032
963.084229,301,581.063258
970.841057,307,582.03619
946.694847,302,582.990407
960.679253,303,583.970697
968.125523,301,584.930328
939.184994,301,585.837034
960.789091,301,588.451973
967.118389,304,589.213691
977.795951,304,589.989001
959.805451,308,590.804129
983.785147,308,591.559333
969.043705,305,592.356056
967.81679,310,594.702007
958.87619,306,595.537136
964.199284,308,596.398079
986.634861,307,597.321219
958.253525,306,598.31509
993.383225,309,599.297219
960.292794,306,600.336742
984.809456,311,603.332701
954.266914,303,604.168316
988.982927,304,605.004664
978.610646,305,605.825923
964.713037,303,606.787703
963.727374,304,607.619421
982.391279,303,608.423571
993.505644,309,610.708014
966.080852,307,611.504278
980.013142,307,612.301485
1006.014345,310,613.235064
979.04106,306,614.144334
964.055227,307,615.071803
965.843066,307,617.667953
989.08763,309,618.645833
974.355274,302,619.570366
984.03713,305,620.405153
998.586318,307,621.150958
970.24866,306,621.89324
969.950341,306,622.680037
983.80874,308,624.998585
979.886884,306,625.756144
1003.732248,309,626.522376
977.345621,302,627.274538
958.894504,306,628.019556
983.361577,307,628.726842
992.129629,308,629.574555
987.610559,309,631.885113
991.018951,308,632.631501
999.321456,310,633.414426
1005.292924,312,634.185846
982.01183,310,634.938533
988.750577,305,635.783489
